2016-01-06 11:12:12
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
831533 368184 231198 169105 48751 26755 16009 38806
417003 25456 12269 9911 3372 3104 1184 453
49425 30572 5733 19086 7256 4929 2712 1568
221390 99102 19101 23982 16694 8094 2367 2704
51956 8345 8271 7322 7495 1397 270 289
360710 66045 6557 2412 7052 2753 976 905
2819 6194 10165 5828 6623 6216 2475 1190
20958 14178 31451 8766 8018 13503 1397 1485
13429 20997 18534 15389 5700 3519 993 1032
16947 38647 61162 36900 17806 3499 1302 1642
62359 7113 5716 1171 1243 1168 338 548
2905 8144 23692 7712 8395 8339 2498 1344
6848 7580 2578 14567 5264 2411 1548 881
7157 4727 18502 3257 7601 4301 974 352
13737 11106 5438 4446 11154 6702 1171 1895
45637 12785 7856 1683 4480 2872 449 262
11490 12570 7117 8626 6830 4396 602 2244
4568 4165 5991 6829 5962 3493 2643 1570
5690 18304 8763 2306 5824 2168 1724 873
54820 13970 5804 3295 4990 1155 370 282
9152 7987 8388 4106 8821 4772 584 1132
13811 9585 2740 8100 3702 2612 1483 773
15087 5711 30683 11127 11385 4465 1120 670
12573 5848 8895 4731 5194 2895 1475 1720
20524 63577 7728 3711 4017 1419 209 589
3493 7530 11160 3919 4578 6779 1387 1268
7127 10405 13247 8942 14932 5602 781 758
3286 13023 15294 5212 2775 3943 1568 1269
10150 4884 17651 6059 10756 6343 3372 680
180921 20801 2567 1939 3210 2012 370 139
8811 15739 25025 22481 2588 5897 1369 675
14788 7111 6531 14809 3524 5116 1449 894
16698 7236 19716 3698 4106 6208 618 1236
19671 9009 4063 8444 10282 3425 1583 761
35128 26832 1695 5164 7498 5426 843 1122
18438 5572 37078 4657 3821 3323 1225 1590
8377 5663 14989 5423 11288 9904 1493 828
430936 113394 9657 336 2547 1837 261 193
26678 20089 26446 9465 4624 5440 1386 1462
8737 7511 25144 14782 3778 2427 1660 1281
12374 11879 7965 5263 3242 8049 1101 701
5313 10421 1125 10752 7120 5338 566 1170
6248 14426 7476 13902 4081 2827 1706 626
4960 21143 11236 7199 5963 3958 2083 914
73304 64475 3741 1074 1921 932 295 159
12546 12325 24395 4244 7175 4634 3421 1725
4653 18132 21349 4870 7174 5155 1922 1578
8755 18393 66773 9429 6805 3651 602 472
59119 41411 33509 11773 9172 6485 1087 996
69078 12516 8595 7813 1259 2500 419 239
5532 6040 30078 4601 8167 9184 2469 1574
4356 12512 11307 1833 4423 4310 778 600
6177 3269 8982 6241 5366 3400 820 827
31989 12448 5275 3723 12515 4457 1044 839
1375 19938 8943 10840 4116 5468 976 1073
33189 40069 6406 581 2951 2240 228 251
8530 14242 1996 5146 5232 9777 1849 2438
6915 3224 5972 1327 6302 5882 1219 989
10454 7614 21733 10212 4019 4211 2359 725
136243 34503 9409 3887 12166 6549 1025 1182
10297 16985 3370 5354 7838 7230 1238 1105
5667 5550 18133 11743 12100 4614 1860 466
620511 86741 22896 9223 11762 6541 759 1379
5074 6880 2980 4392 7803 3412 1413 2424
