2016-01-06 16:56:30
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
2039134 647772 546880 980450 236308 326885 403838 300095
713011 197127 45900 31349 271964 96991 312601 127577
492387 202793 212146 306576 113993 75906 27952 23802
1732009 531896 180110 565051 570202 456313 324755 269433
909435 137248 78846 47776 63493 100287 56260 75994
1338936 258659 17259 103803 65309 65091 33608 14973
130450 99172 9212 22409 18568 21153 34323 20378
931755 224246 310149 155012 125848 378336 55034 85363
449308 353104 17702 251094 125338 99316 73787 77813
1455416 965254 1123025 528460 213796 223290 217912 200516
89617 50328 35995 15815 52775 55037 78549 37587
660588 492559 189516 159259 156065 102520 120322 103663
321552 293662 133065 169986 61113 156332 123839 97525
803073 230881 48152 64506 90168 78634 132632 157561
1610924 429775 343979 194448 401626 498767 280079 376031
1126055 277346 65822 148319 109082 57008 25405 21617
437748 415485 161695 93088 65184 33824 74159 36434
1297637 1190031 417460 568877 211892 425666 387796 182024
1049269 16037 22541 41399 75728 94642 72728 46233
693356 613201 1401591 462049 244798 341532 288475 260350
1547946 528436 494933 64968 156207 564784 567962 255498
464398 145425 47879 108162 45131 81841 86098 61740
565695 260818 93193 96838 106537 145881 155203 141100
1928269 171544 104348 61237 65105 116930 87510 44641
719184 295852 237029 85449 78958 100861 43866 62139
1201704 420579 59190 246749 231772 329087 365400 187042
765562 822597 704916 208253 360442 549734 364067 125136
1225951 273765 18910 53901 140280 324112 66205 112975
897438 442569 43395 114183 43494 94263 129471 50693
1511391 42283 44728 216806 99570 281176 76662 42441
895085 478861 222264 68951 169244 107854 76061 86272
1062583 181516 120555 27201 223454 181174 102398 53143
757608 301372 26186 125778 117880 232289 145382 127728
951717 995783 122716 269827 294147 191213 204321 176247
151085 45306 25527 53915 29978 34806 30865 30397
656765 592153 19835 293530 236969 95941 132041 56120
1782899 335827 339736 503242 356879 713043 441175 356530
850576 647932 786207 412972 383285 1111110 1176331 439813
1417573 281265 145005 118301 58392 83638 140149 145266
264376 312856 67313 162981 213427 203668 132053 82276
1408892 1213837 296690 837974 638757 258784 245754 145590
166115 91489 23004 36276 26963 40111 20254 23126
996236 371074 189870 306177 200019 173607 197492 164743
1888888 1217478 492403 985854 174785 458065 426131 507482
348706 223756 6252 40665 206983 85267 156756 113035
392575 89821 36369 111838 98109 221359 131775 100012
651726 301080 77056 119200 104753 133871 66145 140660
1798255 572402 1145402 589266 738024 523241 559511 226182
726355 225776 88869 92938 64028 82855 139035 60162
334829 394509 147987 129602 172292 75119 72839 109761
1234984 162680 301705 51257 377048 270071 214306 140046
359907 1543351 831712 331308 787067 300275 432847 234085
370076 221760 116977 175791 125810 282729 264500 158837
160439 60930 3667 16212 17305 22509 25533 24328
1235910 124368 91770 33540 131169 191378 269956 81294
1715526 150319 34529 55878 191175 119928 116164 53124
644180 42635 41969 64540 75922 24616 21665 28544
1133192 1695061 429534 883068 318990 660763 464205 338924
942633 775168 390595 127250 32747 90141 35403 60512
1629189 1253727 218871 226136 180369 159673 39468 111759
928294 194254 50803 32675 274319 185400 89943 119592
622770 209895 197796 97169 120979 155009 104231 152843
114216 597428 104359 32860 149429 66690 71201 55884
274806 533248 107672 86257 102363 90803 74329 75629
