2016-01-06 11:13:55
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
1168155 144308 62194 106585 65020 6911 7110 38730
9943 3401 14759 6157 16777 8248 1823 1272
56475 28861 600 2994 8608 1433 178 206
14088 9257 2207 12149 3011 2907 445 745
3530 2830 8748 5034 4272 4076 1350 1086
4941 2561 2097 3374 7282 3530 1283 920
5924 721 5035 4668 3915 2494 983 1603
6073 9377 2432 6548 6567 4445 720 756
10024 3998 3646 8450 7160 3896 2391 1246
8157 14903 21931 6546 2633 6700 781 449
7576 8473 8948 2741 6827 2182 874 514
1605 14743 7831 9374 5582 2631 682 758
1164 7720 7821 7662 12270 3879 925 978
25683 4511 9662 2988 7889 3807 881 1322
34738 30971 16912 20277 9723 14878 2223 1750
32336 6133 12335 2535 2244 2204 387 228
18813 14288 6124 9822 7167 12939 1336 1450
3914 2108 10313 4486 6887 8318 1627 1290
11180 7555 35199 5324 6545 5848 1773 1113
30548 17799 23974 14093 3793 4598 1018 1193
604929 157089 59212 83250 88856 32051 7368 2271
888119 98368 9226 19944 22945 6445 4989 592
10843 17764 9656 7267 4806 3590 1031 801
14250 16656 34823 4459 5665 5346 1196 1810
1366 10209 4992 4504 8790 3786 718 1505
2532 3898 13259 7377 13421 9364 797 620
53254 25640 71310 22481 21515 2607 3223 869
330984 31019 23263 20179 8520 4816 3388 2508
29838 19192 19720 3651 6306 5837 3392 1382
1573 12282 4467 9412 8362 4476 580 1546
84846 39257 8519 2549 6408 1572 833 201
37376 22912 7645 4964 4404 7432 826 1296
8138 1564 6326 13815 2266 5666 1953 1833
61553 15786 10269 14839 10898 7786 1782 656
18393 8289 11747 6023 2380 5557 1327 1092
4902 6214 15343 5876 7880 4225 1676 838
1293 14857 6591 4016 6376 7486 1698 1058
448901 114950 6032 11007 6029 20568 1400 1360
29693 6627 39078 3157 8190 4356 2319 689
12377 2350 14084 29304 4971 3170 1744 988
16917 29107 2912 6053 12266 3710 2085 1084
124575 62220 2079 5120 4094 530 801 203
1391422 747860 19129 18813 8803 9231 1859 791
25965 30875 8661 9660 16854 4289 1269 1143
498281 35286 5442 4410 7262 4197 1343 1017
12087 5221 4090 14008 11828 3044 2591 1576
20158 51019 7770 1581 9338 5818 1250 1098
271930 139910 30012 5224 5654 6572 1870 1471
15031 6093 27781 11868 4322 6032 1926 1234
16037 4564 16261 14484 4402 5616 1857 573
4870 17420 17797 3105 3570 3306 652 1850
18574 6743 20546 25334 3402 4114 972 822
10229 16480 1634 7458 6712 6263 1281 653
2296 5442 3125 4431 2381 4037 1544 1451
17790 13819 1787 6417 5538 5381 1647 945
8785 2036 16348 1729 5585 3947 1971 534
9663 13072 9262 6940 7550 15832 1002 1106
7039 7497 22582 4508 7622 4033 2016 1946
85779 66715 9216 8116 1782 2049 502 246
8009 8397 13166 3232 5210 4093 1929 1184
11105 6503 11007 26893 7309 7834 1524 967
6791 8088 23317 11113 9977 5760 700 1736
20376 43259 3095 5110 6209 2206 1286 2107
