2016-01-06 11:06:00
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
1502048 234009 66037 98627 48596 21768 11906 12018
12276 8486 6032 1261 8200 5625 1077 2838
118241 121485 53690 7994 9471 3680 2361 2274
58829 68896 11649 8192 10998 16464 5878 2267
9450 35214 8932 3000 5325 7820 2623 777
763054 51048 8107 19324 19065 5469 3166 1070
8658 12553 757 2563 6306 4618 1680 2286
6485 5746 2569 19453 5838 14143 1556 2375
248458 155651 21141 15734 23390 10733 7292 2365
546772 523307 20997 16098 16850 7150 2403 5892
58588 14025 7390 7512 5104 8328 1649 1202
8606 18384 5368 2288 10684 4006 2086 2189
122400 70167 992 12332 4285 2254 303 398
1323145 28434 16527 7398 3603 6588 2637 1737
35710 65682 6618 5923 11892 6613 1303 2317
3474 4943 39250 1977 9285 4680 1078 1331
123923 29589 15963 15244 3883 4223 3515 1055
65305 2724 3769 717 808 1836 537 407
1342 3291 7885 3364 15167 4897 827 1969
10305 7923 5455 2591 16879 9674 2892 2459
240215 243207 13900 9003 10360 4751 2690 1489
537836 16610 5476 19074 25546 7101 1466 1903
172517 52692 20576 18738 15643 8216 1404 1228
772407 73822 29380 19252 13551 7253 1351 2061
181546 144432 2334 8319 26205 7517 2646 808
19170 48596 15686 7758 7579 7325 1500 1041
25885 33323 6685 30084 12467 6214 1167 4393
602335 10060 3231 6261 13788 5933 3181 1205
8173 11261 24101 2628 3000 8484 934 2834
37232 22116 3893 7299 3636 4100 1209 2262
72091 11839 36490 20221 10627 3503 2570 3144
20359 29166 11210 2939 7360 3892 2429 1887
272642 24616 1930 1791 1565 770 842 152
8332 6472 15706 13092 15450 13721 825 5451
41741 92124 9799 4647 16554 7182 2419 2362
20770 48966 13122 10449 3846 2387 401 365
16545 27839 11841 8286 12497 4989 1587 1004
6369 12761 1530 7034 5450 3592 1248 1759
1060723 224103 13510 19751 30227 28608 6585 2973
17297 20242 36696 6633 13905 5664 4257 1535
13204 12590 9882 2847 4748 5219 2295 3068
386665 33902 4263 28577 13016 7155 1001 1995
5285 5223 32176 4986 12179 5859 2095 1568
16513 23335 18483 6962 4413 4538 2328 1729
52127 40953 39767 30335 12904 6489 3208 4840
546872 75631 12669 12450 7709 6339 1379 654
11451 19384 21144 5397 6682 4375 2014 1994
9542 13847 11366 1760 2887 7876 1637 1006
78239 9275 8146 5414 8147 9379 1697 1250
104005 103630 62833 9284 10550 7893 3253 2518
8258 8662 2825 13459 4278 5172 1809 1352
3170 20289 18356 3946 10896 7025 2196 2217
50293 12465 10200 15120 7653 7738 1045 1509
16299 14311 16062 7644 5626 5096 2417 1303
76107 25391 9067 2809 1695 1318 528 645
668062 77187 3692 18134 15814 5882 1895 1899
91836 76061 6877 4642 4724 2122 1047 620
1007423 59430 11218 7470 14009 4876 1950 2146
22340 8529 4009 490 989 790 447 535
27030 21651 10583 1425 2689 3713 1539 1818
16738 7936 4102 6129 8831 4226 1661 1612
11226 15217 1612 4038 11829 4344 2078 3095
16579 11454 11550 14704 18386 3253 631 1788
830 21531 13172 29091 6793 5220 1366 1061
