2016-01-06 11:15:13
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
551897 102263 57132 42214 15738 8814 4936 9240
6786 27639 31415 8468 21883 9559 3745 2564
215613 112833 80741 9853 8952 7677 3913 1305
9014 8421 6160 2939 2545 6683 2571 915
279753 70050 11301 27924 9013 7373 2345 2267
31934 14697 16677 2753 19910 2957 1089 3409
14854 12205 2589 5918 6505 18954 1471 1347
555 4203 9586 4627 5324 2863 2071 752
11459 19011 8643 1135 7825 6048 2215 1534
16041 10660 8424 28625 10889 16749 1813 1053
30303 11688 10960 28101 8128 3110 2102 1366
2919 5527 2576 7392 3251 4002 1867 1208
53532 33377 2421 5649 3483 5197 444 539
4027 10837 5547 19224 13399 10547 1906 1144
9087 16380 7326 4474 3435 3999 908 1051
66309 34724 2831 973 2547 879 430 212
155212 32505 4141 8414 22794 2974 1971 919
16689 18734 15756 8599 11694 4362 1960 839
7455 14874 9122 9166 17401 5001 1693 761
111540 95947 14744 7765 10148 1812 432 201
14259 7091 2175 11382 5794 3878 1553 1272
15354 38786 2066 7578 6194 6615 2907 1427
259655 109333 21504 21346 20710 9371 1318 1462
57562 4835 11668 4634 5603 3518 1316 632
2856 6287 889 7907 8972 6155 1798 713
6082 6247 8002 3592 10842 5852 1050 1278
3798 12309 11654 4377 4569 2646 716 1309
5682 3176 4343 8905 6261 8516 2340 1247
7017 8036 7205 5079 5458 5070 1725 344
4035 6254 10574 5237 7246 1614 1332 957
4823 5951 14168 7354 5993 4331 1207 1213
23708 21127 26413 1510 6169 3418 783 820
4409 6975 32480 2737 4758 5409 1766 1294
7347 7572 4156 4852 8585 3533 1483 1428
8812 10010 1526 4866 8041 2487 895 1278
6815 8338 9773 909 4705 2960 2146 1106
3789 12306 6375 2976 5319 3400 1266 1582
6054 7478 6131 6461 9121 6871 1898 1847
2579 11983 13695 5543 6182 2638 835 1031
3197 6820 3893 1544 8491 3845 947 1575
1182 18406 1662 2833 4158 3000 2277 1234
11955 17368 3391 9047 6926 7037 2531 441
71877 14997 3735 1858 3456 2212 86 730
16308 7245 9968 10017 8478 6919 1194 1257
2401 8880 1319 12962 4055 3179 2141 930
361522 42189 10445 3393 9653 6994 1526 2017
17705 2129 15983 2167 4084 7281 1589 1231
8162 4380 4555 15330 4508 3249 1702 966
3001 9449 14375 5594 11563 6237 1425 1247
3946 22583 3660 813 3422 5069 1980 1055
3736 16794 729 24445 9709 3216 1584 1080
16232 4415 6884 6681 17316 5413 684 755
63652 62760 11150 11952 9397 2628 1691 743
3181 10817 5488 9397 3071 3709 1805 778
26485 36151 22745 8703 28521 3399 2102 2660
13866 2270 13256 6212 5715 5811 4010 954
28011 11682 1494 3124 4380 1734 676 163
46306 6814 22774 9267 7185 5514 2689 1116
29288 9845 7640 8734 11342 9698 3267 751
417809 23276 11885 46866 3959 7149 1925 1200
104599 28641 12291 23235 11974 3882 2362 1277
83657 14538 7964 16480 6138 3544 2376 1015
38413 49035 26057 9090 8823 4387 1708 877
4002 6010 4323 8470 4354 3455 1232 1556
