2016-01-06 16:55:10
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
1350908 1190036 244959 262426 436553 380972 168114 214033
979378 871697 220016 205376 168228 210542 235619 145905
186401 91663 51046 179220 97333 84803 63656 53220
1256781 318654 230674 588662 407803 250499 229997 219954
665247 130226 228837 345342 83525 344913 164086 50929
90133 42131 65672 65989 23912 56481 31274 31087
243014 529239 123460 187806 67035 85498 155916 48131
1012169 344754 206781 270845 72865 134695 68127 84583
564449 172308 19791 19491 135317 243749 204021 79582
669670 841050 770159 457868 585420 478027 865746 342645
460388 467193 108925 65523 138506 146772 239472 39184
698104 107824 35656 26403 103232 99794 25454 14453
785417 124677 35003 73967 166148 466836 114228 65869
1572506 1083074 662211 342232 741450 820989 304446 345858
1783446 844192 1325490 189902 118871 743622 312324 231473
1267465 126227 102834 177077 66470 148276 89102 96599
539298 264117 127542 69708 176371 51111 61263 35007
1211663 116090 209315 163848 185910 148357 123110 74743
427845 276853 16974 197129 81394 246600 135844 92481
1248008 222219 247835 555979 80236 135050 14886 51468
215408 500785 79312 63123 138719 143230 120575 53305
887575 184328 65983 81891 52970 171675 125746 130044
1282969 287423 58561 57171 131743 138903 101788 57792
1528546 208675 123948 149150 377039 472797 240065 106558
997588 582289 262915 122738 373659 212980 83057 87721
780197 745880 55977 357371 36961 175634 143034 127499
1517283 32997 85441 39408 104066 118425 69679 52975
245038 497611 95515 132183 137043 177354 99507 110711
72000 61630 18915 40364 30920 64244 36433 18843
714738 364650 468852 152286 159538 161048 81851 81225
606591 262529 172130 206522 12406 163594 67746 86074
252593 211992 68275 108462 62493 59588 35926 41138
251786 146458 100781 75637 32608 141890 66339 65308
835859 329366 116820 30183 30877 62178 64626 92131
742903 509468 232652 268418 339407 310475 351124 236724
636505 145939 64475 28912 24679 35786 19034 18326
204844 35729 4771 8924 8078 7696 8211 4613
951187 299900 95138 38591 179587 161077 143428 79900
486129 219654 98371 17662 21909 70906 30858 37904
600769 230292 9192 83580 35866 84810 64352 102184
567332 915722 88089 95423 307542 210462 81734 36273
419768 431838 559482 1115191 243443 1010469 474447 334591
839200 1367235 302198 734831 494694 178477 488355 136544
845390 519233 18334 132599 108610 208825 167926 134653
1719893 846283 286416 258041 526441 398151 267845 119670
960827 103739 48813 47474 117493 200585 106823 63268
136601 694330 52662 148579 181589 327605 66182 66420
1346204 333892 727457 351008 243618 415331 413269 178232
1336331 321672 179524 162687 118829 154529 158406 102082
350813 550846 290912 256767 137095 194522 158801 320748
639866 700887 176268 139454 112330 62044 63647 31546
328805 527456 140452 88454 77243 94374 105334 56188
1881849 375698 479148 344731 326785 491784 338975 418122
846627 305667 84553 169364 69409 137892 203025 51747
2192528 166573 391099 545153 321683 266263 86792 73306
943059 260706 101960 27459 108232 229856 237067 89552
605826 328818 108560 53224 170952 124278 114040 21473
863650 201687 198762 208577 56736 116997 145958 29407
194990 174385 12228 280709 70454 98897 40465 62717
1198451 1254197 343256 58933 225016 249400 176846 407480
357689 203097 60513 50629 17867 93438 62188 54646
1386689 457285 625729 206450 425227 316383 545073 172095
88977 23564 33735 25733 34084 29113 38428 14658
