2016-01-06 11:10:46
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
555577 230775 100663 48271 19284 7891 6567 7908
221641 233903 36998 9120 12963 3042 2633 2809
5013 4223 6781 2835 8225 4646 2484 914
10434 8677 3314 5010 10884 5154 3636 1652
4092 20274 46985 2088 23010 8737 2023 4056
283297 19554 3688 2316 2077 1217 505 184
6375 2276 3260 5727 5896 2772 5390 1849
9573 16496 10682 3758 4512 3446 2331 1820
2919 7439 9754 13230 7891 7030 1533 669
6965 9210 4014 7957 20067 5388 4684 3078
7729 8405 9196 1206 2662 3984 864 1166
6753 11081 8828 5348 4904 5561 2959 1433
19815 7739 5915 8238 14504 5860 1682 1268
58468 18449 4119 4095 3494 1632 687 350
3635 5966 6187 4790 2501 3167 688 2675
9435 6105 26075 7650 5521 2863 2552 1875
8675 21344 11476 11733 3502 3768 2470 1857
23769 16513 7626 3442 5370 6624 1591 1285
7812 13193 14684 2005 3256 3090 1748 2532
14676 21113 7993 5511 7925 4317 1182 1014
15264 8799 2213 10213 4379 4564 2093 1171
6938 5788 9288 6998 5003 5327 2582 3199
2252 10080 47743 9938 5064 7866 965 1127
16139 7847 2501 8597 13870 7533 2637 1770
7994 8053 39010 1500 14552 5269 1215 1912
4530 5618 24064 4782 4929 3113 972 979
7660 14528 6472 18072 3677 7410 1083 1324
7530 2300 11248 3229 7510 8141 1959 1518
71930 28779 2257 1917 2507 2153 601 410
331072 106593 59107 16755 21180 11247 3515 1287
14617 4693 21312 10773 5989 7350 1055 1813
1402 3641 4615 5083 6258 4139 2181 809
6283 18942 5747 6563 2323 2927 1416 975
70696 28281 7014 7173 7556 3303 1257 2670
171201 91094 1804 5302 2422 2075 484 405
39680 9008 19749 9025 9451 7913 1442 1931
102644 52153 21914 21539 26981 3520 2119 580
46720 12400 8054 1387 9782 4636 670 1088
4413 12499 11559 5312 16956 5142 3389 583
23792 39669 6012 1342 4009 3999 535 440
5790 3158 17367 9607 1727 4381 1073 829
23368 28478 9708 4778 6244 6761 1397 1211
1759960 57361 28672 13723 3755 5491 2417 691
69280 111025 31777 15143 10080 6953 3336 3058
357513 56785 41551 9190 15966 10894 1608 1294
242458 27671 25110 17559 12156 4037 3692 2012
9091 10533 6022 2303 6079 5920 714 687
10158 16166 6059 5185 2562 5005 771 413
4142 4760 12452 2721 8262 5197 807 810
35236 38652 16036 17005 11706 10368 5097 1460
19303 34310 11956 4553 1808 1303 367 409
22442 15973 13535 4110 8409 3735 1495 759
12566 20448 7622 7419 3378 5820 1716 1300
22432 12656 11563 23599 13075 5474 5805 2025
13902 3232 5905 5509 7821 2470 1462 967
7102 5145 3584 15130 17645 4491 1409 1223
148573 192745 42933 15277 3339 6088 847 634
35225 25045 8501 10340 10159 2514 859 1016
8798 10528 8642 8024 8888 5214 541 1284
10029 6009 23232 6469 7397 5557 1381 556
6795 16504 8043 9513 6944 3506 1472 1013
84805 55556 5831 10965 23556 11752 1198 1497
66745 22638 14415 9325 21614 4587 5255 1018
4485 5128 16807 3891 6231 8889 1273 1982
8106 13083 5347 3566 8850 3383 1486 385
