2016-01-06 16:53:42
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
481605 98136 102891 23075 28174 55114 71598 63199
1591255 648435 1207765 700799 617255 428571 350028 354115
96433 79306 14712 14227 22605 33653 24629 21248
538379 309777 47099 145035 97865 135413 97181 81075
857246 125093 140028 126287 159351 95073 46012 30620
556832 334800 272137 78591 165651 77939 112737 134148
1928979 621375 91993 254418 118339 57947 116102 70034
1121541 255950 92717 116024 63824 148042 149384 50037
2024091 1980705 469277 331835 469548 481212 300608 291671
1643926 314202 20153 90420 109293 134086 130731 63829
475309 751354 185339 220814 164387 163143 115971 118022
525450 137116 171904 75472 114559 119092 181628 70681
738174 532209 80133 213265 232040 53251 54087 86832
1172855 727574 1398922 639968 335847 504662 377116 295748
823822 118542 21869 48501 87070 75106 107116 29729
386173 164177 14269 42624 111499 190772 106204 52616
1747317 238298 142281 408951 89523 400557 115068 129839
1260228 517918 66869 166796 87664 86356 336360 39047
291847 394306 51894 108467 176455 287974 141334 227459
269703 99046 115608 124307 114693 112451 70008 117477
938038 878602 43512 855818 462680 467558 288976 199124
531060 344802 120981 269168 287929 284928 102783 62834
30525 153735 21118 53655 26778 39818 14376 7970
580940 144066 63419 150344 155640 123383 190614 74552
494634 701035 114127 77141 255167 148387 196368 92535
1139856 160008 29534 24978 111844 137325 34235 57314
1098022 302200 57544 182074 96388 161074 166273 52031
822590 625002 55184 66366 128515 180571 113161 101609
746657 44500 14648 8253 38734 41853 47543 30660
1090248 111591 257066 94405 104865 193508 95471 151253
733358 128399 55782 90592 249624 159326 65472 40249
1467388 1774579 296216 83010 680404 322665 264339 173144
1775530 284067 66587 28996 160527 81290 126207 182219
120813 41228 25709 16547 31417 44090 22922 32031
1937545 806773 1021114 330233 473287 1343026 1365938 346759
1053620 164175 74330 66769 43923 41458 35766 43692
849345 14665 42900 11383 35501 33583 8281 3546
1310865 97111 202108 138292 208242 151529 194001 117852
204660 25022 13721 16700 62543 40547 24937 14227
864495 178222 137875 205432 250970 176659 103891 50868
222626 80922 12759 36596 63519 66570 21234 21346
265209 15475 27039 46045 14211 16989 24645 23142
427657 208297 634476 89943 128431 310735 240874 143735
689112 338539 128302 135080 156443 228571 251285 91489
636778 265837 70853 141837 248163 220296 126158 89811
1650822 665309 39442 42850 93529 226037 79248 93270
1361687 295315 293658 15529 141540 185804 150425 102544
45772 605916 473677 179630 71319 129904 45484 171116
507176 107257 87242 146775 171728 264784 219252 145420
635005 406971 44180 232423 246728 170327 214433 102905
973861 287649 292731 365680 250957 358032 115997 119642
285920 160159 151072 96735 177851 169654 195004 178841
695058 143258 25409 200431 88488 152774 165316 51995
447845 684158 409453 406996 216114 120619 59332 49467
778683 1068304 1104974 292304 102699 468990 737965 172438
1259749 129132 72637 15141 99605 195664 165958 79326
1892174 197900 96847 88387 159418 119760 132775 101003
824299 214444 249206 295361 205751 580510 324736 164305
729629 236586 122711 100341 140991 63092 42773 60390
964115 656218 229456 186817 214438 183263 211155 166962
1068221 455862 72897 27104 41301 41006 58310 113657
521161 468508 36353 80507 240461 218025 188350 199420
967009 133749 107126 180213 22054 119945 211179 137365
2233867 758632 132275 83455 373010 323042 303714 430258
