2016-01-06 16:52:25
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
1013627 156484 156362 77193 152662 130225 88840 52332
391802 602530 178715 414585 576053 315151 107102 142675
522061 86195 27818 70206 22513 22585 24580 26692
816418 678706 169525 253319 283120 400085 525709 505386
950643 39575 27539 9402 16314 19404 10096 2126
448355 81964 113808 20863 75997 109759 117536 108908
298358 127660 19981 153476 75662 75472 45435 69000
1124214 531990 218993 174521 239579 207803 125074 203133
546180 183673 86805 27666 27367 78678 29103 23491
1671198 136862 64241 136166 338193 207825 262070 102325
551290 348953 44450 97747 119862 199493 135097 126687
107609 16868 8826 16996 5295 23286 14308 10912
797695 33778 38038 40482 295071 247272 174172 67035
664505 803779 62835 563822 699392 164417 106461 240176
304391 148746 124693 220779 207841 262566 109373 90180
286033 147565 29515 10304 41447 124411 49179 122156
186006 134190 245048 115755 80108 127894 103558 230217
949370 329905 464809 114922 112229 131962 46766 40195
1040919 241671 101690 356602 85142 93123 111959 107545
771798 353168 279516 182657 278396 157140 124018 36978
143757 28197 54629 12026 24503 42626 35320 34803
30892 52168 28281 24150 13200 24892 50099 21672
529028 480541 311955 170261 133688 194404 111421 94873
65203 229717 25092 47883 37068 142889 51062 29102
1497196 308022 185314 184466 276394 137823 162704 117963
1917110 419997 133151 212333 164172 399050 361058 351843
644780 141824 229465 233675 113098 76806 83458 93903
695435 111865 12322 44252 57695 58576 29725 17651
2250081 450623 214635 253080 179770 276238 179459 48050
2067673 310778 45843 135313 144541 147968 118721 104616
1078202 740006 253437 70250 108836 112982 57434 109867
672004 280150 177754 245128 209354 290856 171479 80041
440832 476445 120599 467239 132684 114265 110032 111663
917656 288356 62211 90541 163945 224519 274331 63125
905173 90887 62999 156418 184859 39926 81741 92410
700224 653330 303206 313104 74427 121519 88455 81697
738885 293102 153323 516972 829492 253171 262616 112296
225646 51683 35488 39012 25679 59689 25288 10094
1634913 185647 121530 56610 404685 104784 76569 113711
645269 101610 30107 133321 277748 308056 87087 170339
1866120 172324 89681 145469 92427 214164 145185 83502
798595 81730 247142 129088 53779 44264 96070 144219
1180684 1106915 204658 144915 257683 441315 237171 385384
904597 412403 27432 175864 655952 313612 209989 470652
551270 644617 68548 248732 133489 432108 140144 78853
1836677 167987 152483 128174 138099 146848 104154 68476
2027978 372535 150997 153820 590840 110398 121085 50429
1412269 1673411 1390881 730668 474511 837837 191100 403997
104034 105833 29971 17151 32150 39187 23614 19938
321394 298522 164050 35886 164708 92148 65768 166673
343003 525080 683009 93393 162578 122966 136613 87419
878888 285495 80364 73919 146536 332711 218965 101079
1196148 372286 47785 164800 128060 159449 147742 119807
270211 176517 27082 47069 64059 22329 33685 13636
492202 944914 14521 300020 197523 195308 64616 238915
48301 69745 46852 30774 22557 74859 22693 18050
490007 514562 257338 181537 320691 220782 144819 80071
230559 36367 32958 48059 81156 57728 83209 19919
1416661 185413 95814 128337 94164 146778 187056 102142
1932594 262876 360595 203854 207941 273622 159357 101319
1602003 228266 119798 98648 251127 261809 190805 57820
68382 92698 10043 20008 37285 17968 12946 17465
523591 780186 227846 563302 786881 375312 154291 129895
74836 47231 40546 23439 40500 26916 63010 25772
551466 401872 101470 99176 77058 128744 239533 95977
